entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name
P45984	MK09_HUMAN	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	Homo sapiens (Human)	2.7.11.24	MAPK9	ATP binding [GO:0005524]; JUN kinase activity [GO:0004705]; MAP kinase activity [GO:0004707]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Mitogen-activated protein kinase 9
P42262	GRIA2_HUMAN	Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2) (GluA2)	Glutamate-gated ion channel (TC 1.A.10.1) family, GRIA2 subfamily	Homo sapiens (Human)		GRIA2	AMPA glutamate receptor activity [GO:0004971]; amyloid-beta binding [GO:0001540]; ionotropic glutamate receptor activity [GO:0004970]; ligand-gated ion channel activity [GO:0015276]; signaling receptor activity [GO:0038023]	Glutamate receptor 2
P41245	MMP9_MOUSE	Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB)	Peptidase M10A family	Mus musculus (Mouse)	3.4.24.35	Mmp9	endopeptidase activity [GO:0004175]; fibronectin binding [GO:0001968]; identical protein binding [GO:0042802]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; peptidase activity [GO:0008233]; protein-containing complex binding [GO:0044877]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	Matrix metalloproteinase-9
P37340	MDTK_ECOLI	Multidrug resistance protein MdtK (Multidrug-efflux transporter)	Multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family, MdtK subfamily	Escherichia coli (strain K12)		mdtK	dipeptide transmembrane transporter activity [GO:0071916]; solute:cation antiporter activity [GO:0015298]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]	Multidrug resistance protein MdtK
P35739	NTRK1_RAT	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (Slow nerve growth factor receptor) (p140-TrkA) (Trk-A)	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	Rattus norvegicus (Rat)	2.7.10.1	Ntrk1	ATP binding [GO:0005524]; GPI-linked ephrin receptor activity [GO:0005004]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; nerve growth factor binding [GO:0048406]; nerve growth factor receptor activity [GO:0010465]; neurotrophin binding [GO:0043121]; neurotrophin p75 receptor binding [GO:0005166]; neurotrophin receptor activity [GO:0005030]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	High affinity nerve growth factor receptor
P35813	PPM1A_HUMAN	Protein phosphatase 1A (EC 3.1.3.16) (Protein phosphatase 2C isoform alpha) (PP2C-alpha) (Protein phosphatase IA)	PP2C family	Homo sapiens (Human)	3.1.3.16	PPM1A	calmodulin-dependent protein phosphatase activity [GO:0033192]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; protein serine/threonine phosphatase activity [GO:0004722]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; R-SMAD binding [GO:0070412]	Protein phosphatase 1A
P42260	GRIK2_RAT	Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6)	Glutamate-gated ion channel (TC 1.A.10.1) family, GRIK2 subfamily	Rattus norvegicus (Rat)		Grik2	extracellularly glutamate-gated ion channel activity [GO:0005234]; glutamate receptor activity [GO:0008066]; identical protein binding [GO:0042802]; ionotropic glutamate receptor activity [GO:0004970]; kainate selective glutamate receptor activity [GO:0015277]; ligand-gated ion channel activity [GO:0015276]; ligand-gated ion channel activity involved in regulation of presynaptic membrane potential [GO:0099507]; PDZ domain binding [GO:0030165]; signaling receptor activity [GO:0038023]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase binding [GO:0031625]	Glutamate receptor ionotropic, kainate 2
P41586	PACR_HUMAN	Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1)	G-protein coupled receptor 2 family	Homo sapiens (Human)		ADCYAP1R1	adenylate cyclase binding [GO:0008179]; G protein-coupled peptide receptor activity [GO:0008528]; neuropeptide binding [GO:0042923]; peptide hormone binding [GO:0017046]; signaling receptor activity [GO:0038023]; small GTPase binding [GO:0031267]; vasoactive intestinal polypeptide receptor activity [GO:0004999]	Pituitary adenylate cyclase-activating polypeptide type I receptor
P47211	GALR1_HUMAN	Galanin receptor type 1 (GAL1-R) (GALR-1)	G-protein coupled receptor 1 family	Homo sapiens (Human)		GALR1	galanin receptor activity [GO:0004966]; G protein-coupled peptide receptor activity [GO:0008528]; neuropeptide binding [GO:0042923]; peptide hormone binding [GO:0017046]	Galanin receptor type 1
P40189	IL6RB_HUMAN	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)	Type I cytokine receptor family, Type 2 subfamily	Homo sapiens (Human)		IL6ST	ciliary neurotrophic factor receptor activity [GO:0004897]; ciliary neurotrophic factor receptor binding [GO:0005127]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; interleukin-11 binding [GO:0019970]; interleukin-11 receptor activity [GO:0004921]; interleukin-27 receptor activity [GO:0045509]; scaffold protein binding [GO:0097110]	Interleukin-6 receptor subunit beta
P43354	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	Nuclear hormone receptor family, NR4 subfamily	Homo sapiens (Human)		NR4A2	beta-catenin binding [GO:0008013]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; glucocorticoid receptor binding [GO:0035259]; nuclear receptor activity [GO:0004879]; protein heterodimerization activity [GO:0046982]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]	Nuclear receptor subfamily 4 group A member 2
P42261	GRIA1_HUMAN	Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1) (GluA1)	Glutamate-gated ion channel (TC 1.A.10.1) family, GRIA1 subfamily	Homo sapiens (Human)		GRIA1	AMPA glutamate receptor activity [GO:0004971]; amyloid-beta binding [GO:0001540]; glutamate receptor activity [GO:0008066]; ligand-gated ion channel activity [GO:0015276]; neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration [GO:0099583]; PDZ domain binding [GO:0030165]; signaling receptor activity [GO:0038023]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]	Glutamate receptor 1
P38571	LICH_HUMAN	Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase)	AB hydrolase superfamily, Lipase family	Homo sapiens (Human)	3.1.1.13	LIPA	lipase activity [GO:0016298]; sterol esterase activity [GO:0004771]	Lysosomal acid lipase/cholesteryl ester hydrolase
P43490	NAMPT_HUMAN	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)	NAPRTase family	Homo sapiens (Human)	2.4.2.12	NAMPT	cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; nicotinamide phosphoribosyltransferase activity [GO:0047280]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; nucleotide binding [GO:0000166]	Nicotinamide phosphoribosyltransferase
P41968	MC3R_HUMAN	Melanocortin receptor 3 (MC3-R)	G-protein coupled receptor 1 family	Homo sapiens (Human)		MC3R	G protein-coupled receptor activity [GO:0004930]; melanocortin receptor activity [GO:0004977]; melanocyte-stimulating hormone receptor activity [GO:0004980]; neuropeptide binding [GO:0042923]; peptide hormone binding [GO:0017046]	Melanocortin receptor 3
P39877	PA2G5_HUMAN	Phospholipase A2 group V (EC 3.1.1.4) (PLA2-10) (Phosphatidylcholine 2-acylhydrolase 5)	Phospholipase A2 family	Homo sapiens (Human)	3.1.1.4	PLA2G5	calcium-dependent phospholipase A2 activity [GO:0047498]; calcium-independent phospholipase A2 activity [GO:0047499]; calcium ion binding [GO:0005509]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; phospholipid binding [GO:0005543]	Phospholipase A2 group V
P42345	MTOR_HUMAN	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	PI3/PI4-kinase family	Homo sapiens (Human)	2.7.11.1	MTOR	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; phosphoprotein binding [GO:0051219]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ribosome binding [GO:0043022]; RNA polymerase III type 1 promoter sequence-specific DNA binding [GO:0001002]; RNA polymerase III type 2 promoter sequence-specific DNA binding [GO:0001003]; RNA polymerase III type 3 promoter sequence-specific DNA binding [GO:0001006]; TFIIIC-class transcription factor complex binding [GO:0001156]; translation regulator activity [GO:0045182]	Serine/threonine-protein kinase mTOR
P47748	OPRX_CAVPO	Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor) (XOR)	G-protein coupled receptor 1 family	Cavia porcellus (Guinea pig)		OPRL1	G protein-coupled receptor activity [GO:0004930]; nociceptin receptor activity [GO:0001626]	Nociceptin receptor
P46925	PLM2_PLAFX	Plasmepsin II (PLM II) (EC 3.4.23.39) (Aspartic hemoglobinase II) (PfAPD) (PfPM1) (Plasmepsin 2)	Peptidase A1 family	Plasmodium falciparum (isolate HB3)	3.4.23.39	PMII	aspartic-type endopeptidase activity [GO:0004190]	Plasmepsin II
P37289	PF2R_BOVIN	Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor)	G-protein coupled receptor 1 family	Bos taurus (Bovine)		PTGFR	prostaglandin F receptor activity [GO:0004958]	Prostaglandin F2-alpha receptor
P39898	PLM1_PLAFX	Plasmepsin I (EC 3.4.23.38) (Aspartic hemoglobinase I) (Plasmepsin 1)	Peptidase A1 family	Plasmodium falciparum (isolate HB3)	3.4.23.38	PMI	aspartic-type endopeptidase activity [GO:0004190]	Plasmepsin I
P42337	PK3CA_MOUSE	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	PI3/PI4-kinase family	Mus musculus (Mouse)	2.7.1.137; 2.7.1.153; 2.7.11.1	Pik3ca	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; insulin receptor substrate binding [GO:0043560]; kinase activity [GO:0016301]; phosphatidylinositol-3,4-bisphosphate 5-kinase activity [GO:0052812]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; phosphatidylinositol kinase activity [GO:0052742]; protein kinase activator activity [GO:0030295]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
P43686	PRS6B_HUMAN	26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)	AAA ATPase family	Homo sapiens (Human)		PSMC4	ATPase [GO:0016887]; ATP binding [GO:0005524]; proteasome-activating activity [GO:0036402]	26S proteasome regulatory subunit 6B
P40337	VHL_HUMAN	von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL)	VHL family	Homo sapiens (Human)		VHL	enzyme binding [GO:0019899]; transcription factor binding [GO:0008134]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin-protein transferase activity [GO:0004842]	von Hippel-Lindau disease tumor suppressor
P37238	PPARG_MOUSE	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	Nuclear hormone receptor family, NR1 subfamily	Mus musculus (Mouse)		Pparg	alpha-actinin binding [GO:0051393]; arachidonic acid binding [GO:0050544]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA binding domain binding [GO:0050692]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded DNA binding [GO:0003690]; E-box binding [GO:0070888]; enzyme binding [GO:0019899]; estrogen receptor binding [GO:0030331]; identical protein binding [GO:0042802]; LBD domain binding [GO:0050693]; nuclear receptor activity [GO:0004879]; nuclear receptor coactivator activity [GO:0030374]; peptide binding [GO:0042277]; promoter-specific chromatin binding [GO:1990841]; protein C-terminus binding [GO:0008022]; protein phosphatase binding [GO:0019903]; protein self-association [GO:0043621]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]; WW domain binding [GO:0050699]; zinc ion binding [GO:0008270]	Peroxisome proliferator-activated receptor gamma
P40763	STAT3_HUMAN	Signal transducer and activator of transcription 3 (Acute-phase response factor)	Transcription factor STAT family	Homo sapiens (Human)		STAT3	CCR5 chemokine receptor binding [GO:0031730]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; glucocorticoid receptor binding [GO:0035259]; identical protein binding [GO:0042802]; nuclear receptor activity [GO:0004879]; primary miRNA binding [GO:0070878]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; signaling adaptor activity [GO:0035591]; signaling receptor binding [GO:0005102]; transcription cis-regulatory region binding [GO:0000976]; transcription factor binding [GO:0008134]	Signal transducer and activator of transcription 3
P42227	STAT3_MOUSE	Signal transducer and activator of transcription 3 (Acute-phase response factor)	Transcription factor STAT family	Mus musculus (Mouse)		Stat3	CCR5 chemokine receptor binding [GO:0031730]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; glucocorticoid receptor binding [GO:0035259]; identical protein binding [GO:0042802]; nuclear receptor activity [GO:0004879]; primary miRNA binding [GO:0070878]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; signaling adaptor activity [GO:0035591]; transcription cis-regulatory region binding [GO:0000976]; transcription factor binding [GO:0008134]	Signal transducer and activator of transcription 3
P41143	OPRD_HUMAN	Delta-type opioid receptor (D-OR-1) (DOR-1)	G-protein coupled receptor 1 family	Homo sapiens (Human)		OPRD1	G protein-coupled enkephalin receptor activity [GO:0038046]; G protein-coupled opioid receptor activity [GO:0004985]; G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; peptide binding [GO:0042277]; receptor serine/threonine kinase binding [GO:0033612]	Delta-type opioid receptor
P45452	MMP13_HUMAN	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)	Peptidase M10A family	Homo sapiens (Human)	3.4.24.-	MMP13	calcium ion binding [GO:0005509]; collagen binding [GO:0005518]; endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	Collagenase 3
P36507	MP2K2_HUMAN	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	Homo sapiens (Human)	2.7.12.2	MAP2K2	ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; MAP-kinase scaffold activity [GO:0005078]; metal ion binding [GO:0046872]; PDZ domain binding [GO:0030165]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; scaffold protein binding [GO:0097110]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Dual specificity mitogen-activated protein kinase kinase 2
P41972	SYI1_STAAU	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	Class-I aminoacyl-tRNA synthetase family, IleS type 1 subfamily	Staphylococcus aureus	6.1.1.5	ileS	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	Isoleucine--tRNA ligase
P42680	TEC_HUMAN	Tyrosine-protein kinase Tec (EC 2.7.10.2)	Protein kinase superfamily, Tyr protein kinase family, TEC subfamily	Homo sapiens (Human)	2.7.10.2	TEC	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phospholipid binding [GO:0005543]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Tyrosine-protein kinase Tec
P43115	PE2R3_HUMAN	Prostaglandin E2 receptor EP3 subtype (PGE receptor EP3 subtype) (PGE2 receptor EP3 subtype) (PGE2-R) (Prostanoid EP3 receptor)	G-protein coupled receptor 1 family	Homo sapiens (Human)		PTGER3	prostaglandin E receptor activity [GO:0004957]	Prostaglandin E2 receptor EP3 subtype
P42677	RS27_HUMAN	40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)	Eukaryotic ribosomal protein eS27 family	Homo sapiens (Human)		RPS27	DNA binding [GO:0003677]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]	40S ribosomal protein S27
P37840	SYUA_HUMAN	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	Synuclein family	Homo sapiens (Human)		SNCA	actin binding [GO:0003779]; alpha-tubulin binding [GO:0043014]; beta-tubulin binding [GO:0048487]; calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; cuprous ion binding [GO:1903136]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; dynein complex binding [GO:0070840]; ferrous iron binding [GO:0008198]; histone binding [GO:0042393]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; magnesium ion binding [GO:0000287]; microtubule binding [GO:0008017]; oxidoreductase activity [GO:0016491]; phospholipase binding [GO:0043274]; phospholipid binding [GO:0005543]; phosphoprotein binding [GO:0051219]; protein domain specific binding [GO:0019904]; protein kinase inhibitor activity [GO:0004860]; protein N-terminus binding [GO:0047485]; SNARE binding [GO:0000149]; tau protein binding [GO:0048156]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]	Alpha-synuclein
P36897	TGFR1_HUMAN	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Homo sapiens (Human)	2.7.11.30	TGFBR1	activin binding [GO:0048185]; activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity, type I [GO:0005025]; type II transforming growth factor beta receptor binding [GO:0005114]	TGF-beta receptor type-1
P37173	TGFR2_HUMAN	TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Homo sapiens (Human)	2.7.11.30	TGFBR2	activin-activated receptor activity [GO:0017002]; activin binding [GO:0048185]; ATP binding [GO:0005524]; glycosaminoglycan binding [GO:0005539]; metal ion binding [GO:0046872]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity, type II [GO:0005026]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]; type III transforming growth factor beta receptor binding [GO:0034714]; type I transforming growth factor beta receptor binding [GO:0034713]	TGF-beta receptor type-2
P47712	PA24A_HUMAN	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]		Homo sapiens (Human)	3.1.1.4; 3.1.1.5	PLA2G4A	calcium-dependent phospholipase A2 activity [GO:0047498]; calcium-dependent phospholipid binding [GO:0005544]; calcium-independent phospholipase A2 activity [GO:0047499]; calcium ion binding [GO:0005509]; ceramide 1-phosphate binding [GO:1902387]; lysophospholipase activity [GO:0004622]; O-acyltransferase activity [GO:0008374]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; phosphatidyl phospholipase B activity [GO:0102545]; phospholipase A2 activity [GO:0004623]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]	Cytosolic phospholipase A2
P41144	OPRK_CAVPO	Kappa-type opioid receptor (K-OR-1) (KOR-1)	G-protein coupled receptor 1 family	Cavia porcellus (Guinea pig)		OPRK1	dynorphin receptor activity [GO:0038048]; G protein-coupled opioid receptor activity [GO:0004985]	Kappa-type opioid receptor
P36836	S15A1_RABIT	Solute carrier family 15 member 1 (Intestinal H(+)/peptide cotransporter) (Oligopeptide transporter, small intestine isoform) (Peptide transporter 1)	Major facilitator superfamily, Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17) family	Oryctolagus cuniculus (Rabbit)		SLC15A1	dipeptide transmembrane transporter activity [GO:0071916]; peptide:proton symporter activity [GO:0015333]; tripeptide transmembrane transporter activity [GO:0042937]	Solute carrier family 15 member 1
P42336	PK3CA_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide 3-kinase alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	PI3/PI4-kinase family	Homo sapiens (Human)	2.7.1.137; 2.7.1.153; 2.7.11.1	PIK3CA	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; insulin receptor substrate binding [GO:0043560]; kinase activity [GO:0016301]; phosphatidylinositol-3,4-bisphosphate 5-kinase activity [GO:0052812]; phosphatidylinositol 3-kinase activity [GO:0035004]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; phosphatidylinositol kinase activity [GO:0052742]; protein kinase activator activity [GO:0030295]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
